                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.6911,                  1.987,                 1.7878,                0.50062,                0.52427,                0.50341,                0.28543,                 1.5623,                  1.695,                 1.8139,               0.007096,               0.007096,               0.007096
                     46,                 1.6682,                 1.9643,                 1.7702,                0.47909,                0.53326,                0.49945,                0.28364,                 1.5559,                 1.6947,                 1.8064,                0.00703,                0.00703,                0.00703
                     47,                 1.6791,                 1.9619,                 1.7704,                0.52948,                0.51383,                0.50949,                0.29062,                 1.5559,                  1.666,                 1.7983,               0.006964,               0.006964,               0.006964
                     48,                 1.6605,                 1.9383,                 1.7653,                0.49445,                0.52545,                0.50995,                 0.2898,                 1.5549,                 1.6569,                 1.7967,               0.006898,               0.006898,               0.006898
                     49,                 1.6658,                 1.9407,                 1.7698,                0.49938,                0.53076,                0.51462,                0.29545,                 1.5468,                 1.6524,                 1.7892,               0.006832,               0.006832,               0.006832
                     50,                 1.6657,                  1.924,                 1.7653,                0.54532,                0.53101,                0.52083,                0.29682,                 1.5414,                 1.6414,                 1.7871,               0.006766,               0.006766,               0.006766
                     51,                 1.6849,                 1.9291,                 1.7732,                0.52154,                0.54018,                0.52453,                0.29861,                 1.5421,                 1.6284,                 1.7837,                 0.0067,                 0.0067,                 0.0067
                     52,                  1.654,                 1.8875,                 1.7534,                0.52353,                0.55118,                0.52896,                0.30397,                  1.529,                  1.621,                 1.7811,               0.006634,               0.006634,               0.006634
                     53,                 1.6444,                 1.8938,                 1.7452,                0.54697,                 0.5493,                 0.5332,                0.30851,                 1.5211,                  1.603,                 1.7792,               0.006568,               0.006568,               0.006568
                     54,                 1.6409,                 1.8845,                 1.7371,                0.51797,                0.55771,                0.54227,                0.31333,                 1.5173,                 1.5697,                 1.7615,               0.006502,               0.006502,               0.006502
                     55,                 1.6554,                 1.8682,                 1.7477,                0.52339,                0.55844,                0.53561,                0.30935,                 1.5151,                 1.5845,                  1.758,               0.006436,               0.006436,               0.006436
                     56,                 1.6475,                 1.8547,                 1.7356,                0.53881,                0.56675,                 0.5424,                0.31369,                 1.5233,                 1.5569,                 1.7624,                0.00637,                0.00637,                0.00637
                     57,                 1.6369,                 1.8531,                 1.7346,                0.52328,                0.56103,                0.54979,                0.32171,                 1.5024,                 1.5474,                 1.7466,               0.006304,               0.006304,               0.006304
